Lane,"Assembly Type","Total Length","No Contigs","Avg Contig Length","Largest Contig",N50,"Contigs in N50",N60,"Contigs in N60",N70,"Contigs in N70",N80,"Contigs in N80",N90,"Contigs in N90",N100,"Contigs in N100","No scaffolded bases (N)","Total Raw Reads","Reads Mapped","Reads Unmapped","Reads Paired","Reads Unpaired","Total Raw Bases","Total Bases Mapped","Total Bases Mapped (Cigar)","Average Read Length","Maximum Read Length","Average Quality","Insert Size Average","Insert Size Std Dev"
42070_1#32,"Scaffold: SPAdes + Improvement",5593600,53,105539.62,1063040,413440,5,350470,7,263364,9,200446,11,94350,16,324,53,855,2167410,2122354,45056,2090240,32114,327278910,320475454,320381755,151,151,35.4,406.1,114.2
42070_1#33,"Scaffold: SPAdes + Improvement",5590104,66,84698.55,985388,215424,6,202342,8,142999,12,103492,16,83318,22,347,66,198,940426,915559,24867,898086,17473,142004326,138249409,138205532,151,151,35.2,448.9,116.9
42070_1#34,"Scaffold: SPAdes + Improvement",5392925,28,192604.46,2374355,817004,2,482444,3,477385,4,302332,5,99714,8,323,28,848,1167166,1143594,23572,1127134,16460,176242066,172682694,172634628,151,151,35.4,416.1,110.2
42070_1#35,"Scaffold: SPAdes + Improvement",5586971,53,105414.55,1304400,373608,4,209247,6,148440,9,124539,13,86616,18,353,53,340,746130,729959,16171,718144,11815,112665630,110223809,110190524,151,151,35.3,435.6,109.3
42070_1#36,"Scaffold: SPAdes + Improvement",5393336,30,179777.87,912911,477381,4,456633,5,370463,6,217212,9,133072,12,339,30,485,1437332,1402294,35038,1379676,22618,217037132,211746394,211685856,151,151,35.3,418.4,112.0
42070_1#37,"Scaffold: SPAdes + Improvement",4091,1,4091.00,4091,4091,1,4091,1,4091,1,4091,1,4091,1,4091,1,0,387028,3616,383412,3482,134,58441228,546016,545771,151,151,35.2,612.1,784.0
42070_1#39,"Scaffold: SPAdes + Improvement",5825261,104,56012.12,453929,178224,10,148631,14,107638,19,73503,25,28534,39,300,104,962,2106142,2057083,49059,2020840,36243,318027442,310619533,310520915,151,151,35.3,422.8,112.2
42070_1#40,"Scaffold: SPAdes + Improvement",5678460,38,149433.16,611189,345536,7,254174,9,226958,11,201846,14,116784,18,1702,38,338,1710906,1669612,41294,1640474,29138,258346806,252111412,252036411,151,151,35.3,435.1,111.9
42070_1#41,"Scaffold: SPAdes + Improvement",5641600,34,165929.41,2105301,815016,2,482444,3,370463,5,361132,6,213698,8,311,34,566,1979116,1937607,41509,1907516,30091,298846516,292578657,292493101,151,151,35.4,425.3,110.1
42070_1#42,"Scaffold: SPAdes + Improvement",9377985,136,68955.77,715777,228767,14,197797,19,149704,24,82476,34,38494,51,314,136,8375,1757698,1724885,32813,1700120,24765,265412398,260457635,260379558,151,151,35.4,421.2,109.4
42070_1#43,"Scaffold: SPAdes + Improvement",5596006,41,136487.95,759504,383802,6,382108,7,335630,9,227860,11,94269,15,312,41,489,1843290,1808901,34389,1785174,23727,278336790,273144051,273070428,151,151,35.5,406.4,112.5
42070_1#44,"Scaffold: SPAdes + Improvement",5678896,38,149444.63,611324,326635,7,242202,9,217650,11,201840,14,86499,18,311,38,341,2592296,2541722,50574,2504120,37602,391436696,383800022,383692610,151,151,35.4,416.6,112.5
42070_1#45,"Scaffold: SPAdes + Improvement",5751627,99,58097.24,367423,184764,12,141826,15,100910,20,73455,26,37088,37,344,99,904,1276566,1253988,22578,1237428,16560,192761466,189352188,189300691,151,151,35.5,401.0,108.2
42070_1#46,"Scaffold: SPAdes + Improvement",5532288,48,115256.00,715272,284594,7,260510,9,226497,11,208125,13,89133,17,355,48,1823,1560504,1523484,37020,1498590,24894,235636104,230046084,229977832,151,151,35.3,428.9,109.8
42070_1#47,"Scaffold: SPAdes + Improvement",5751854,82,70144.56,365699,184539,11,150940,15,119984,19,73466,25,42864,34,344,82,341,2450176,2394051,56125,2356162,37889,369976576,361501701,361396321,151,151,35.4,422.7,115.5
42070_1#48,"Scaffold: SPAdes + Improvement",5449798,57,95610.49,780421,264385,6,220430,9,197441,11,129028,15,94431,20,311,57,114,3602326,3521289,81037,3467116,54173,543951226,531714639,531559330,151,151,35.4,419.2,109.1
42070_1#49,"Scaffold: SPAdes + Improvement",5585761,60,93096.02,720273,412586,6,344532,8,275667,9,136038,12,86580,17,314,60,907,1194328,1169035,25293,1150862,18173,180343528,176524285,176472996,151,151,35.4,426.1,114.7
42070_1#50,"Scaffold: SPAdes + Improvement",5984486,54,110823.81,1364381,519339,4,428103,5,418377,6,311389,8,122300,11,344,54,926,1512090,1482426,29664,1461344,21082,228325590,223846326,223783061,151,151,35.4,411.8,112.6
42070_1#51,"Scaffold: SPAdes + Improvement",5321115,34,156503.38,913427,459823,4,404035,5,292837,7,192717,9,99527,14,350,34,429,799414,782147,17267,769518,12629,120711514,118104197,118069368,151,151,35.4,446.0,109.6
42070_1#52,"Scaffold: SPAdes + Improvement",5697879,105,54265.51,505005,313148,7,285756,9,254726,11,110524,15,74859,21,316,105,1007,875480,856049,19431,841632,14417,132197480,129263399,129223854,151,151,35.3,442.6,115.5
42070_1#53,"Scaffold: SPAdes + Improvement",34152,9,3794.67,9450,5060,3,3396,4,2694,5,2657,6,1763,7,1493,9,0,304974,11449,293525,10374,1075,46051074,1728799,1727640,151,151,35.3,525.6,505.8
42070_1#54,"Scaffold: SPAdes + Improvement",17464,3,5821.33,8041,5116,2,5116,2,5116,2,4307,3,4307,3,4307,3,0,452016,17547,434469,16888,659,68254416,2649597,2648464,151,151,35.4,558.9,725.9
42070_1#55,"Scaffold: SPAdes + Improvement",5320144,35,152004.11,1258127,424594,4,376875,5,359077,6,217799,8,101878,12,306,35,301,1245486,1216420,29066,1197024,19396,188068386,183679420,183625452,151,151,35.4,413.1,112.1
42070_1#57,"Scaffold: SPAdes + Improvement",5320564,38,140014.84,912926,465092,4,424594,5,376985,6,203521,8,94255,13,300,38,393,1268870,1241801,27069,1221886,19915,191599370,187511951,187457109,151,151,35.4,434.2,105.2
42070_1#59,"Scaffold: SPAdes + Improvement",5320551,31,171630.68,913601,459834,5,424594,6,414210,7,307791,9,99527,12,385,31,740,1515046,1485212,29834,1463742,21470,228771946,224267012,224203296,151,151,35.4,407.4,110.6
42070_1#60,"Scaffold: SPAdes + Improvement",5651664,65,86948.68,545114,328707,7,270022,9,229136,11,144254,14,72837,21,325,65,1173,1213304,1183614,29690,1163462,20152,183208904,178725714,178671486,151,151,35.3,439.3,112.1
42070_1#61,"Scaffold: SPAdes + Improvement",5321587,36,147821.86,1374990,424594,3,398160,4,359250,5,122354,8,94250,13,304,36,623,1392650,1362113,30537,1341580,20533,210290150,205679063,205619796,151,151,35.4,405.6,108.8
42070_1#62,"Scaffold: SPAdes + Improvement",4688091,27,173633.00,1352024,503341,3,471710,4,419189,5,331105,6,193684,8,737,27,1037,971162,947291,23871,929940,17351,146645462,143040941,142997305,151,151,35.3,434.2,111.2
42070_1#63,"Scaffold: SPAdes + Improvement",5589157,40,139728.92,818336,413455,6,367068,7,354485,9,215924,11,103426,14,379,40,1038,2586904,2520825,66079,2475140,45685,390622504,380644575,380525972,151,151,35.3,432.4,113.4
42070_1#64,"Scaffold: SPAdes + Improvement",5561760,57,97574.74,633337,333862,7,261066,9,207875,11,124091,14,58756,19,361,57,1096,2855350,2794124,61226,2751454,42670,431157850,421912724,421789798,151,151,35.4,423.5,111.9
42070_1#65,"Scaffold: SPAdes + Improvement",5442159,20,272107.95,2165042,817335,2,482444,3,477552,4,294124,6,158843,8,389,20,848,2143884,2097294,46590,2065298,31996,323726484,316691394,316600787,151,151,35.4,446.3,112.6
42070_1#66,"Scaffold: SPAdes + Improvement",5394287,29,186009.90,1715756,697524,3,504842,4,302327,5,224256,7,146197,9,323,29,831,1940714,1901654,39060,1874504,27150,293047814,287149754,287071435,151,151,35.4,411.1,108.8
42070_1#67,"Scaffold: SPAdes + Improvement",5621070,71,79170.00,471787,193295,9,181597,12,151118,16,86662,21,56870,28,401,71,337,2043650,2005717,37933,1977664,28053,308591150,302863267,302777886,151,151,35.4,410.9,111.0
42070_1#68,"Scaffold: SPAdes + Improvement",5677650,43,132038.37,611109,371916,6,246655,8,207805,11,201840,13,86499,18,311,43,205,2235940,2185398,50542,2149934,35464,337626940,329995098,329898360,151,151,35.4,416.9,111.8
42070_1#69,"Scaffold: SPAdes + Improvement",5618130,76,73922.76,471788,193047,10,172357,13,119978,17,87882,22,57398,31,344,76,1,1097792,1070120,27672,1051516,18604,165766592,161588120,161539431,151,151,35.3,424.0,111.3
42070_1#70,"Scaffold: SPAdes + Improvement",5392227,38,141900.71,972079,477214,4,303564,6,259533,8,215494,10,99714,14,340,38,221,807176,787444,19732,773320,14124,121883576,118904044,118868728,151,151,35.3,419.0,111.3
42070_1#71,"Scaffold: SPAdes + Improvement",5427213,36,150755.92,1110506,462161,5,454983,6,378138,7,161300,9,125050,13,329,36,132,2227518,2178885,48633,2144656,34229,336355218,329011635,328917098,151,151,35.4,414.3,113.8
42070_1#72,"Scaffold: SPAdes + Improvement",5677485,40,141937.12,611313,343414,7,254033,9,234967,11,201665,14,121343,18,416,40,341,2055000,2010269,44731,1977800,32469,310305000,303550619,303462293,151,151,35.4,418.3,116.4
42070_1#73,"Scaffold: SPAdes + Improvement",5402643,89,60703.85,558064,200762,9,172079,12,85743,17,70064,24,30938,36,312,89,851,2630640,2569150,61490,2526684,42466,397226640,387941650,387823536,151,151,35.3,447.0,112.9
42070_1#74,"Scaffold: SPAdes + Improvement",5679604,42,135228.67,818158,372006,6,289086,8,223754,11,201840,13,77046,18,309,42,247,2078208,2025916,52292,1991112,34804,313809408,305913316,305822215,151,151,35.3,434.6,109.6
42070_1#75,"Scaffold: SPAdes + Improvement",5541596,48,115449.92,1110718,323465,5,273305,7,235143,9,180611,12,98980,16,404,48,604,3486330,3406441,79889,3350164,56277,526435830,514372591,514222284,151,151,35.3,405.3,110.9
42070_1#76,"Scaffold: SPAdes + Improvement",5680060,42,135239.52,611167,372174,7,361532,8,242327,10,202015,13,86499,18,311,42,70,3278930,3207136,71794,3156842,50294,495118430,484277536,484140570,151,151,35.4,418.1,111.6
42070_1#77,"Scaffold: SPAdes + Improvement",5521925,34,162409.56,736681,381263,6,375213,7,350695,9,334571,10,103835,13,344,34,474,4814056,4719769,94287,4655218,64551,726922456,712685119,712489703,151,151,35.5,414.7,109.6
42070_1#78,"Scaffold: SPAdes + Improvement",3983873,38,104838.76,823061,348254,4,233771,5,197768,7,175101,9,103114,12,300,38,405,4026288,3939450,86838,3880928,58522,607969488,594856950,594665878,151,151,35.3,411.9,114.4
42070_1#79,"Scaffold: SPAdes + Improvement",5382433,51,105537.90,1251277,492396,4,361339,5,328051,7,231851,9,99570,12,323,51,634,3932268,3834938,97330,3773068,61870,593772468,579075638,578905221,151,151,35.3,420.6,114.6
42070_1#80,"Scaffold: SPAdes + Improvement",5682372,40,142059.30,901716,372273,6,339882,7,207901,10,201912,12,86499,17,311,40,399,3942384,3866499,75885,3815738,50761,595299984,583841349,583684883,151,151,35.5,413.7,115.7
42070_1#81,"Scaffold: SPAdes + Improvement",5321689,31,171667.39,792472,424594,5,414210,6,376970,7,250765,9,102445,12,311,31,348,1909762,1873705,36057,1848650,25055,288374062,282929455,282853454,151,151,35.5,415.3,112.7
42070_1#82,"Scaffold: SPAdes + Improvement",5763601,26,221676.96,1499567,388685,4,350098,6,323308,8,299835,9,238890,12,396,26,991,1842150,1802474,39676,1773412,29062,278164650,272173574,272094294,151,151,35.3,434.5,106.5
42070_1#83,"Scaffold: SPAdes + Improvement",5320566,29,183467.79,913385,562267,4,465098,5,425559,6,359413,7,104473,11,385,29,189,1832186,1795608,36578,1769906,25702,276660086,271136808,271061563,151,151,35.5,419.8,111.1
42070_1#84,"Scaffold: SPAdes + Improvement",5707523,25,228300.92,1042370,415544,4,386569,5,343966,7,265107,8,238890,11,300,25,729,2050570,2007960,42610,1976822,31138,309636070,303201960,303114346,151,151,35.4,437.5,107.4
42070_1#85,"Scaffold: SPAdes + Improvement",5319467,38,139985.97,1217379,459824,4,376556,5,306340,7,122354,10,94250,15,352,38,677,799672,783097,16575,771216,11881,120750472,118247647,118213398,151,151,35.4,432.5,109.9
42070_1#86,"Scaffold: SPAdes + Improvement",5845539,138,42358.98,1134742,226248,7,199151,10,148619,13,93527,19,24894,31,322,138,965,970582,950621,19961,935670,14951,146557882,143543771,143499922,151,151,35.4,421.5,117.2
42070_1#87,"Scaffold: SPAdes + Improvement",5782483,71,81443.42,1004148,320228,5,238741,7,217554,10,100866,14,45957,21,312,71,1556,2195106,2149446,45660,2117360,32086,331461006,324566346,324472803,151,151,35.4,430.3,116.9
42070_1#88,"Scaffold: SPAdes + Improvement",5591601,48,116491.69,990734,441386,4,365082,6,353501,7,200214,10,94350,14,509,48,414,1972920,1926884,46036,1894090,32794,297910920,290959484,290871397,151,151,35.3,444.0,113.0
42070_1#89,"Scaffold: SPAdes + Improvement",5587353,46,121464.20,1313228,439051,4,353501,6,263364,8,238294,10,103638,13,340,46,671,2295714,2253321,42393,2222620,30701,346652814,340251471,340156949,151,151,35.5,439.7,109.9
42070_1#91,"Scaffold: SPAdes + Improvement",5679986,40,141999.65,787718,372070,6,254033,7,227087,10,205535,12,124063,16,311,40,75,2954256,2891439,62817,2846760,44679,446092656,436607289,436481750,151,151,35.4,430.2,109.0
42070_1#92,"Scaffold: SPAdes + Improvement",5707950,21,271807.14,1652353,750813,3,480204,4,389563,5,301568,6,238890,9,329,21,743,2795392,2744644,50748,2707870,36774,422104192,414441244,414330110,151,151,35.5,432.3,110.9
42070_1#93,"Scaffold: SPAdes + Improvement",5480231,49,111841.45,1228981,382412,4,345975,6,247968,8,141229,11,73009,16,336,49,1073,3043494,2981002,62492,2937906,43096,459567594,450131302,450004030,151,151,35.4,418.4,108.4
42070_1#94,"Scaffold: SPAdes + Improvement",5680266,42,135244.43,611342,375234,6,255004,8,226150,10,205535,13,86499,17,311,42,79,3928174,3851248,76926,3797104,54144,593154274,581538448,581377674,151,151,35.5,411.0,112.7
42070_1#95,"Scaffold: SPAdes + Improvement",5513496,51,108107.76,715429,295499,6,290248,8,275534,10,181374,13,89172,17,308,51,917,3717816,3633834,83982,3578378,55456,561390216,548708934,548553016,151,151,35.4,421.9,117.4
42070_1#96,"Scaffold: SPAdes + Improvement",5681127,44,129116.52,611249,327707,7,227929,10,207891,12,148257,15,86499,20,868,44,104,3760282,3682031,78251,3630910,51121,567802582,555986681,555834208,151,151,35.5,408.0,111.1
42070_1#97,"Scaffold: SPAdes + Improvement",5549415,77,72070.32,985412,381256,5,229492,7,151731,10,101978,15,47864,21,370,77,10,1494486,1461972,32514,1438638,23334,225667386,220757772,220694833,151,151,35.4,427.1,116.1
42070_1#98,"Scaffold: SPAdes + Improvement",5677723,41,138481.05,647061,326635,7,254033,9,222213,11,145692,14,102725,18,300,41,673,1608402,1573938,34464,1549766,24172,242868702,237664638,237596634,151,151,35.4,412.7,110.7
42070_1#99,"Scaffold: SPAdes + Improvement",5466898,69,79230.41,582304,377675,6,314346,8,232601,10,190696,12,93216,17,355,69,231,1103308,1076961,26347,1057886,19075,166599508,162621111,162570218,151,151,35.2,426.3,106.8
42070_1#100,"Scaffold: SPAdes + Improvement",8650670,1316,6573.46,2148555,224621,6,60202,14,24728,38,6085,115,2175,364,126,1316,3693,2118832,2043384,75448,2000276,43108,319943632,308550984,308458267,151,151,35.3,440.8,108.2
42070_1#101,"Scaffold: SPAdes + Improvement",5632603,64,88009.42,460967,230973,9,206967,11,162180,14,100574,19,56940,27,347,64,336,837528,819432,18096,805776,13656,126466728,123734232,123696577,151,151,35.3,434.2,115.8
42070_1#102,"Scaffold: SPAdes + Improvement",5550846,83,66877.66,756666,279353,7,261594,9,191398,12,136356,15,62188,21,329,83,0,1111538,1088854,22684,1071750,17104,167842238,164416954,164365598,151,151,35.3,432.0,106.6
42070_1#103,"Scaffold: SPAdes + Improvement",5800841,68,85306.49,751204,381889,6,286880,8,216193,10,161998,13,86765,18,399,68,1611,1861314,1820313,41001,1790746,29567,281058414,274867263,274785793,151,151,35.4,422.2,110.3
42070_1#104,"Scaffold: SPAdes + Improvement",6704424,1493,4490.57,163343,23553,72,18847,104,11795,149,6800,224,2049,398,126,1493,25066,1606952,1575349,31603,1550672,24677,242649752,237877699,237765332,151,151,35.6,410.8,108.4
42070_1#105,"Scaffold: SPAdes + Improvement",5593622,34,164518.29,759488,482660,5,381642,7,356670,8,189456,10,94294,14,312,34,737,1446982,1418118,28864,1396500,21618,218494282,214135818,214073527,151,151,35.4,445.3,115.2
42070_1#106,"Scaffold: SPAdes + Improvement",5435044,37,146893.08,991942,462158,4,299454,6,214910,8,146057,11,104091,16,317,37,0,1367762,1338788,28974,1318484,20304,206532062,202156988,202098962,151,151,35.4,444.5,111.9
42070_1#107,"Scaffold: SPAdes + Improvement",5766176,65,88710.40,478344,318733,8,263990,10,142984,14,108978,18,84059,24,323,65,230,3851156,3709433,141723,3601736,107697,581524556,560124383,559936658,151,151,35.4,399.8,110.5
42070_1#108,"Scaffold: SPAdes + Improvement",5681627,44,129127.89,611321,339422,7,254033,9,217864,11,204463,14,102465,18,311,44,601,3069600,3009270,60330,2966368,42902,463509600,454399770,454272679,151,151,35.5,404.1,109.6
42070_1#109,"Scaffold: SPAdes + Improvement",5619355,71,79145.85,508890,193148,9,177707,12,127750,16,96655,21,56266,29,344,71,300,3005208,2941369,63839,2896460,44909,453786408,444146719,444017035,151,151,35.4,409.5,110.2
42070_1#110,"Scaffold: SPAdes + Improvement",5680286,40,142007.15,611331,339882,7,280587,8,227127,11,205535,13,101606,17,311,40,62,2985022,2923441,61581,2879944,43497,450738322,441439591,441314058,151,151,35.4,425.7,108.8
42070_1#111,"Scaffold: SPAdes + Improvement",5425844,40,135646.10,1488633,1337917,2,347340,4,310400,5,235758,7,86680,11,307,40,948,3710934,3614640,96294,3552270,62370,560351034,545810640,545645128,151,151,35.3,427.1,110.3
42070_1#112,"Scaffold: SPAdes + Improvement",5680578,42,135251.86,611352,339623,7,254033,9,207870,12,202924,14,86525,19,311,42,76,4198898,4096248,102650,4026240,70008,634033598,618533448,618347576,151,151,35.3,418.6,110.7
42070_1#113,"Scaffold: SPAdes + Improvement",5696188,81,70323.31,706239,301289,8,218940,10,198259,12,135428,15,58786,23,307,81,1376,1870378,1834647,35731,1809014,25633,282427078,277031697,276951666,151,151,35.4,412.7,111.0
42070_1#114,"Scaffold: SPAdes + Improvement",24026,4,6006.50,9106,5850,2,5850,2,5324,3,5324,3,3746,4,3746,4,0,1317012,37322,1279690,34764,2558,198868812,5635622,5632437,151,151,35.4,431.8,110.8
42070_1#115,"Scaffold: SPAdes + Improvement",5677063,58,97880.40,545329,324570,7,225215,10,201816,12,128994,16,68801,21,300,58,883,749346,733491,15855,722218,11273,113151246,110757141,110725589,151,151,35.4,411.0,111.0
42070_1#116,"Scaffold: SPAdes + Improvement",5677262,46,123418.74,474767,315277,8,295891,9,207805,12,201490,14,104514,19,311,46,251,975324,955037,20287,940404,14633,147273924,144210587,144170321,151,151,35.4,435.6,111.5
42070_1#117,"Scaffold: SPAdes + Improvement",5361806,48,111704.29,1031384,363728,5,314726,6,252453,8,113303,11,83918,16,310,48,207,559568,547554,12014,539318,8236,84494768,82680654,82657132,151,151,35.4,443.6,113.2
42070_1#118,"Scaffold: SPAdes + Improvement",5644701,61,92536.08,725169,277596,6,214533,8,188480,11,103846,15,86900,20,303,61,577,770618,753179,17439,740916,12263,116363318,113730029,113696247,151,151,35.3,410.1,114.5
42070_1#119,"Scaffold: SPAdes + Improvement",5757446,76,75755.87,706239,312078,7,289367,9,195986,11,99265,15,57276,23,396,76,1380,1605966,1572680,33286,1549710,22970,242500866,237474680,237407929,151,151,35.4,439.5,112.1
42070_1#120,"Scaffold: SPAdes + Improvement",5677650,45,126170.00,611275,254033,7,230461,9,207805,12,145706,15,71865,20,1047,45,340,1456546,1429600,26946,1410040,19560,219938446,215869600,215810432,151,151,35.5,420.8,111.4
42070_1#121,"Scaffold: SPAdes + Improvement",5678546,39,145603.74,697927,324669,7,254033,9,225712,11,207805,14,86499,18,311,39,565,1616058,1576611,39447,1548410,28201,244024758,238068261,237995108,151,151,35.3,433.8,110.6
42070_1#122,"Scaffold: SPAdes + Improvement",5678388,48,118299.75,453639,262829,8,254310,10,207326,13,145692,16,86499,21,311,48,339,1082712,1058927,23785,1041766,17161,163489512,159897977,159851138,151,151,35.4,453.2,116.6
